stadium,weather,location,div_game,roof,surface,temp,wind,stadium_id,game_stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
Cleveland Browns Stadium,"Sunny Temp: 73° F, Humidity: 42%, Wind: light/vrbl mph",Home,0,outdoors,grass,73.0,0.0,CLE00,Cleveland Browns Stadium
